locality string,country,state,county,latitude,longitude,correction status,precision,error polygon,multiple results
San Juan Channel,,,,,,,,,
San Juan County,,,,,,,,,
San Juan County Park,,,,,,,,,
San Juan River,,,,,,,,,
San Lorenzo River,,,,,,,,,
San Mateo,,,,,,,,,
Sandford Island,,,,,,,,,
Santa Catalina,,,,,,,,,
Santa Catalina Island,,,,,,,,,
Santa Cruz Mountains,,,,,,,,,
Sarita Lake,,,,,,,,,
Sarita River,,,,,,,,,
Scott's Bay,,,,,,,,,
Seal Rock,,,,,,,,,
Seaside,,,,,,,,,
Seattle,,,,,,,,,
Seppings,,,,,,,,,
Seppings Island,,,,,,,,,
Seychelles,,,,,,,,,
Shady Cove,,,,,,,,,
Shaky Bill,,,,,,,,,
Shaky Bill's Creek,,,,,,,,,
Shark Reef,,,,,,,,,
Shaw Island,,,,,,,,,
Shaw Island East Sound,,,,,,,,,
Shaw Island Reserve,,,,,,,,,
Shell Cove,,,,,,,,,
Ship Bay,,,,,,,,,
Shoal Bay,,,,,,,,,
Siletz River,,,,,,,,,
Simone's Bay,,,,,,,,,
Slim Shady Creek,,,,,,,,,
Snug Harbor,,,,,,,,,
Soberanes Point,,,,,,,,,
Sobrantes Point,,,,,,,,,
South Beach,,,,,,,,,
South Neck Point,,,,,,,,,
South Yaquina Bay,,,,,,,,,
Spencer Spit,,,,,,,,,
Sportsman Lake,,,,,,,,,
Squaw Bay,,,,,,,,,
Starfish Point,,,,,,,,,
Station Point,,,,,,,,,
Stillwater Cove,,,,,,,,,
Strait of Juan de Fuca,,,,,,,,,
Strawberry Cove,,,,,,,,,
Strawberry Creek,,,,,,,,,
Strawberry Hill,,,,,,,,,
Strawberry Point,,,,,,,,,
Stuart Island,,,,,,,,,
Sucia Island,,,,,,,,,
Sugsaw,,,,,,,,,
Sugsaw Creek,,,,,,,,,
Sugsaw Lake,,,,,,,,,
Sunset Bay,,,,,,,,,
Swanson Channel,,,,,,,,,
Swifts Bay,,,,,,,,,
Third Lagoon,,,,,,,,,
Tilden Regional Park,,,,,,,,,
Tillamook Bay,,,,,,,,,
Trevor Channel,,,,,,,,,
Turn Island,,,,,,,,,
Turn Island,,,,,,,,,
Turn Point,,,,,,,,,
Turn Rock,,,,,,,,,
Twin Rocks,,,,,,,,,
University of California Berkeley,,,,,,,,,
Vancouver Island,,,,,,,,,
Vancouver Island South,,,,,,,,,
Washington,,,,,,,,,
Washington Sound,,,,,,,,,
West Coast,,,,,,,,,
West Side Road,,,,,,,,,
Westcott Bay,,,,,,,,,
Whidbey Island,,,,,,,,,
Whiffen Spit,,,,,,,,,
Wild Cat Creek,,,,,,,,,
Wizard Island,,,,,,,,,
Wizard Islet,,,,,,,,,
Yachats Beach,,,,,,,,,
"Yachats, OR",,,,,,,,,
Yaquina Bay,,,,,,,,,
Yaquina Bay Estuary,,,,,,,,,
Yaquina estuary,,,,,,,,,
Yaquina Head,,,,,,,,,
Yaqunia Bay,,,,,,,,,
Yellow Island,,,,,,,,,
